Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
ADSSI Limited,3 A Pioneer Avenue,,TUGGERAH,NSW,2259,Central Coast,Home Care Places,,75,,,ADSSI Homeliving Australia,Private Incorporated Body,Major Cities of Australia,"$1,051,724"
Advantaged Care at Barden Lodge,18 Barden Road,,BARDEN RIDGE,NSW,2234,South East Sydney,Residential,62,,,,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,836,985"
Advantaged Care at Bondi Waters,47  O'BRIEN STREET,,BONDI BEACH,NSW,2026,South East Sydney,Residential,56,,,,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,719,314"
Advantaged Care at Georges Manor,111 Bellevue Avenue,,GEORGES HALL,NSW,2198,South West Sydney,Residential,144,,,,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$8,660,298"
AdventCare Bendigo,392 High Street,,GOLDEN SQUARE,VIC,3555,Loddon-Mallee,Residential,50,,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Inner Regional Australia,"$2,204,033"
AdventCare Whitehorse (Hostel),163-165 Central Road,,NUNAWADING,VIC,3131,Eastern Metro,Residential,124,,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Major Cities of Australia,"$4,948,415"
AdventCare Whitehorse (Nursing Home),163-165 Central Road,,NUNAWADING,VIC,3131,Eastern Metro,Residential,30,,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Major Cities of Australia,"$1,268,273"
AdventCare Yarra Ranges,5 Woods Point Road,,WARBURTON,VIC,3799,Eastern Metro,Residential,31,,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Inner Regional Australia,"$1,436,502"
Adventist Nursing Home,56 Elsom Street,,KINGS LANGLEY,NSW,2147,Western Sydney,Residential,87,,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,"$4,324,025"
Adventist Residential Care,31 Webb Street,,ROSSMOYNE,WA,6148,Metropolitan South East,Residential,80,,,,Seventh-day Adventist Aged Care (Western Australia) Ltd,Charitable,Major Cities of Australia,"$4,649,203"
Adventist Retirement Village - CACP - Victoria Point,571 Cleveland-Redland Bay Road,,VICTORIA POINT,QLD,4165,Brisbane South,Home Care Places,,10,,,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Major Cities of Australia,"$112,827"
Adventist Retirement Village - Victoria Pt,571 Cleveland-Redland Bay Road,,VICTORIA POINT,QLD,4165,Brisbane South,Residential,176,,,,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Major Cities of Australia,"$7,182,788"
Aegis Alfred Carson,30 Bay Road,,CLAREMONT,WA,6010,Metropolitan North,Residential,90,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,582,833"
Aegis Amberley,30 Mell Road,,SPEARWOOD,WA,6163,Metropolitan South West,Residential,114,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,568,091"
Aegis Anchorage,340 Anchorage Drive North,,MINDARIE,WA,6030,Metropolitan North,Residential,102,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,257,916"
Aegis Balmoral,29 Gardner Street,,COMO,WA,6152,Metropolitan South East,Residential,105,,,,Balmoral Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,847,384"
Aegis Banksia Park,20 Bright Road,,CALISTA,WA,6167,Metropolitan South West,Residential,147,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,806,186"
Aegis Bassendean,27 Hamilton Street,,BASSENDEAN,WA,6054,Metropolitan East,Residential,80,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,818,414"
Aegis Carrington,27 Ivermey Road,,HAMILTON HILL,WA,6163,Metropolitan South West,Residential,119,,,,Carrington Aged Care Facility Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,100,537"
Aegis Ellenvale,99 Broadwater Boulevard,,BROADWATER,WA,6280,South West,Residential,140,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$5,601,264"
Aegis Greenfields,95 Lakes Road,,GREENFIELDS,WA,6210,Metropolitan South West,Residential,106,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,605,421"
Aegis Hermitage,5 Cottage Close,,ELLENBROOK,WA,6069,Metropolitan East,Residential,120,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,771,571"
Aegis Hilton Park,19 Laidlaw Street,,HILTON,WA,6163,Metropolitan South West,Residential,136,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$9,718,726"
Aegis Karalee,68 Lyall Street,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,61,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,898,378"
Aegis Lakeside,33 Stanton Road,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,27,,,,Lakeside Hostel Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,156,316"
Aegis Lincoln Park,21 Wright Street,,HIGHGATE,WA,6000,Metropolitan East,Residential,46,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,415,888"
Aegis Melville,1 French Road,,MELVILLE,WA,6156,Metropolitan South West,Residential,96,,,,Balmoral Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,558,789"
Aegis Parkview,6 DRUMMOND Street,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,79,,,,Lakeside Hostel Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,268,243"
Aegis Sandstrom,44 Whatley Crescent,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,48,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,460,008"
Aegis Shawford,4 Shawford Place,,INNALOO,WA,6018,Metropolitan North,Residential,102,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,096,120"
Aegis Shoalwater,72 Fourth Avenue,,SHOALWATER,WA,6169,Metropolitan South West,Residential,144,,,,Aegis Aged Care Shoalwater Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$9,221,347"
Aegis St Francis,162 Holland Street,,FREMANTLE,WA,6160,Metropolitan South West,Residential,41,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,083,914"
Aegis St James,38 Alday Street,,ST JAMES,WA,6102,Metropolitan South East,Residential,85,,,,Balmoral Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,421,226"
Aegis Stirling,32 Spencer Avenue,,YOKINE,WA,6060,Metropolitan North,Residential,135,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,400,239"
Aegis The Pines,167 Ponte Vecchio Boulevarde,,ELLENBROOK,WA,6069,Metropolitan East,Residential,78,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,749,607"
Aegis Woodlake,40 Woodlake Retreat,,KINGSLEY,WA,6026,Metropolitan North,Residential,102,,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,085,764"
Aged and Regional Community Care Service,Level 1,235 Lords Place,ORANGE,NSW,2800,Riverina/Murray,Home Care Places,,20,10,,CareWest Ltd,Community Based,Inner Regional Australia,"$405,588"
Aged Care Service,198 Elizabeth Street,,HOBART,TAS,7000,Southern,National Aboriginal and Torres Strait Islander Aged Care Program,,36,,,Tasmanian Aboriginal Centre (TAC) Inc,Community Based,Inner Regional Australia,"$487,231"
Ageing and Disability Services,Community Centre,_ Breese Parade,FORSTER,NSW,2428,Mid North Coast,Home Care Places,,13,7,,Great Lakes Council,Local Government,Inner Regional Australia,"$32,158"
Agmaroy Nursing Home,115 Leach Highway,,WILSON,WA,6107,Metropolitan South East,Residential,60,,,,Hamersley Nursing Home (WA) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,695,175"
Agris Hutrof House,25 Estonian Road,,THIRLMERE,NSW,2572,South West Sydney,Residential,39,,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,"$2,145,799"
AGWS Community Aged Care Packages - Northern Region,7 Union Street,,BRUNSWICK,VIC,3056,Northern Metro,Home Care Places,,10,,,Australian Greek Welfare Society Ltd,Community Based,Major Cities of Australia,"$130,724"
AGWS Community Aged Care Packages - Western Region,7 Union Street,,BRUNSWICK,VIC,3056,Western Metro,Home Care Places,,10,,,Australian Greek Welfare Society Ltd,Community Based,Major Cities of Australia,"$105,273"
Ainsley Nursing Home,23a Grantham Street,,BURWOOD,NSW,2134,Inner West,Residential,70,,,,Siva Kolunthu Pty Limited,Private Incorporated Body,Major Cities of Australia,"$5,133,953"
Ainslie House,13 Iverison Road,,SUSSEX INLET,NSW,2540,Illawarra,Residential,30,,,,Inasmuch Community Inc,Community Based,Inner Regional Australia,"$858,114"
Ainslie Low Head,196-244 Low Head Road,,LOW HEAD,TAS,7253,Northern,Residential,22,,,,Southern Cross Care (Tas) Inc,Religious,Outer Regional Australia,"$1,115,211"
Ainslie Low Head,196-244 Low Head Road,,LOW HEAD,TAS,7253,Northern,Residential,47,,,,Southern Cross Care (Tas) Inc,Religious,Outer Regional Australia,"$2,768,270"
Akooramak Care of Older Persons,269 Wood Street,,WARWICK,QLD,4370,Darling Downs,Residential,100,,,,Warwick Benevolent Society Inc,Community Based,Inner Regional Australia,"$4,072,640"
Akooramak Care of Older Persons - EACH,269 Wood Street,,WARWICK,QLD,4370,Darling Downs,Home Care Places,,,10,,Warwick Benevolent Society Inc,Community Based,Inner Regional Australia,"$466,751"
Akooramak Care of Older Persons CCP,269 Wood Street,,WARWICK,QLD,4370,Darling Downs,Home Care Places,,16,,,Warwick Benevolent Society Inc,Community Based,Inner Regional Australia,"$200,403"
Alan David Lodge,382 SURF COAST Highway,,GROVEDALE,VIC,3216,Barwon-South Western,Residential,108,,,,Barwon Health,State Government,Major Cities of Australia,"$4,490,787"
Albany Community Care Centre,73 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care Places,,30,5,,Albany Community Care Centre Inc,Community Based,Outer Regional Australia,"$410,444"
Albert Court Aged Care,2-6 Albert Street,,EDGECLIFF,NSW,2027,South East Sydney,Residential,39,,,,Trustees of Catholic Aged Care Sydney,Religious,Major Cities of Australia,"$1,325,477"
Albert Moore Gardens,34 Short Street,,MERIMBULA,NSW,2548,Southern Highlands,Residential,52,,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,"$2,089,353"
Alblas Lodge,1  TRIBE STREET,,NORTH TAMWORTH,NSW,2340,New England,Residential,60,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,"$2,622,278"
Albury & District Private Nursing Home,639  LOGAN ROAD,,GLENROY,NSW,2640,Riverina/Murray,Residential,90,,,,Aged Care Services 12 (Albury & District) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$5,604,194"
Albury Transitional Aged Care Service,550  POOLE STREET,,ALBURY,NSW,2640,Riverina/Murray,Transition Care,,,,25,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,"$1,660,307"
Albury Wodonga Health Residential Care Program,52 Sydney Road,,BEECHWORTH,VIC,3747,Hume,Residential,15,,,,Albury Wodonga Health,State Government,Inner Regional Australia,"$768,114"
Alchera House,75 Bridge Street,,KORUMBURRA,VIC,3950,Gippsland,Residential,20,,,,Gippsland Southern Health Service,State Government,Inner Regional Australia,"$977,070"
Alcheringa Hostel,23 Sunnyside Avenue,,POINT CLARE,NSW,2250,Central Coast,Residential,11,,,,Aubrey Downer Memorial Orange Homes,Community Based,Major Cities of Australia,"$414,015"
Alcheringa Hostel,2-14 Boree Drive,,SWAN HILL,VIC,3585,Loddon-Mallee,Residential,74,,,,Alcheringa Hostel Limited,Charitable,Outer Regional Australia,"$4,071,170"
Aldersgate Aged Care Services,160 OG Road,,FELIXSTOW,SA,5070,Metropolitan East,Residential,115,,,,UnitingCare Wesley Adelaide Incorporated,Religious,Major Cities of Australia,"$6,327,678"
Aldersgate House Nursing Home,16 Fredbert Street,,LILYFIELD,NSW,2040,Inner West,Residential,102,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$7,163,346"
Aldinga Beach Court,10 Pridham Boulevard,,ALDINGA BEACH,SA,5173,Metropolitan South,Residential,118,,,,Churches of Christ Life Care Incorporated,Religious,Major Cities of Australia,"$6,750,248"
Alexander Aged Care,16 Victor Road,,BROOKVALE,NSW,2100,Northern Sydney,Residential,69,,,,Armenian Rest Home Association Ltd,Community Based,Major Cities of Australia,"$4,242,024"
Alexander Campbell House,51 Cook Street,,FORESTVILLE,NSW,2087,Northern Sydney,Residential,35,,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,"$1,080,923"
Alfred Health,260 Kooyong Road,,CAULFIELD,VIC,3162,Southern Metro,Home Care Places,,,15,,Alfred Health,State Government,Major Cities of Australia,"$670,390"
Alfred Health EACHD,260 Kooyong Road,,CAULFIELD,VIC,3162,Southern Metro,Home Care Places,,,5,,Alfred Health,State Government,Major Cities of Australia,"$236,928"
Alfred Health Transition Care Program,260 Kooyong Road,,CAULFIELD,VIC,3162,Southern Metro,Transition Care,,,,88,Department of Health,State Government,Major Cities of Australia,"$5,946,535"
Algester Lodge,117 Dalmeny Street,,ALGESTER,QLD,4115,Brisbane South,Residential,145,,,,The Renton Family Trust No. 1,Private Incorporated Body,Major Cities of Australia,"$8,133,281"
Ali Curung (Homemakers) Aged Care Service,Ali-Curung Community,,ALI CURUNG,NT,872,Barkly,Home Care Places,,9,,,Barkly Regional Council,Local Government,Very Remote Australia,"$118,496"
Alkira Aged Care,35-45 Marquis Street,,GUNNEDAH,NSW,2380,New England,Residential,41,,,,Gunnedah Aged Care Services Limited,Community Based,Outer Regional Australia,"$1,608,054"
Alkira Gardens,2 Animbo Street,,MIRANDA,NSW,2228,South East Sydney,Residential,90,,,,The Sisters of Our Lady of China Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,643"
Alkoomi Residential Care,73 Samaria Road,,BENALLA,VIC,3673,Hume,Residential,60,,,,Alkoomi Nursing Home Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$2,578,368"
All About You RSL LifeCare @ Home - ACT,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care Places,,57,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$602,507"
All About You RSL LifeCare @ Home - ACT,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care Places,,,7,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$256,484"
All About You RSL LifeCare @ Home - ACT,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care Places,,10,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$116,610"
All About You RSL LifeCare @ Home - ACT,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care Places,,,26,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$896,537"
All About You RSL LifeCare @ Home - ACT,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care Places,,,10,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$472,751"
All About You RSL LifeCare @ Home - Far North Coast,"Unit 7, 7 Hackett Lane",,BALLINA,NSW,2478,Far North Coast,Home Care Places,,10,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,"$141,956"
All About You RSL LifeCare @ Home - Far North Coast,7 Bentinck Street,,BALLINA,NSW,2478,Far North Coast,Home Care Places,,,10,,RSL LifeCare Limited,Community Based,Inner Regional Australia,"$486,957"
All About You RSL LifeCare @ Home - Merimbula,34 Short Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care Places,,25,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,"$309,323"
All About You RSL LifeCare @ Home - Mid North Coast,"Unit 7, 8 Bowra Street",,URUNGA,NSW,2455,Mid North Coast,Home Care Places,,5,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,"$68,372"
All About You RSL LifeCare @ Home - Riverina,50-56 McKell Avenue,,MOUNT AUSTIN,NSW,2650,Riverina/Murray,Home Care Places,,25,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,"$259,087"
All About You RSL LifeCare @ Home - St George,47 Andover Street,,CARLTON,NSW,2218,South East Sydney,Home Care Places,,30,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$374,571"
All About You RSL LifeCare @ Home - St George,47 Andover Street,,CARLTON,NSW,2218,South East Sydney,Home Care Places,,20,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$269,005"
All About You RSL LifeCare @ Home - Sydney,90 Veterans Parade,,NARRABEEN,NSW,2101,Northern Sydney,Home Care Places,,42,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$535,601"
All About You RSL LifeCare @ Home - Western Sydney,64 Glebe Place,,PENRITH,NSW,2750,Western Sydney,Home Care Places,,10,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$131,231"
All Care Aged Care The Vales,60-66 States Road,,MORPHETT VALE,SA,5162,Metropolitan South,Residential,141,,,,Tickled Pink Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$9,116,069"
All Hallows Court Residential Care,56 Monmouth Road,,WESTBOURNE PARK,SA,5041,Metropolitan South,Residential,90,,,,Anglicare SA Inc,Religious,Major Cities of Australia,"$5,362,875"
Allambee Nursing Home Kingston Centre,376 Warrigal Road,,CHELTENHAM,VIC,3192,Southern Metro,Residential,35,,,,Monash Health,State Government,Major Cities of Australia,"$2,179,707"
Allambi Elderly Peoples Home,46 Anderson Street,,DIMBOOLA,VIC,3414,Grampians,Residential,12,,,,Allambi Elderly Peoples Home Inc,Community Based,Outer Regional Australia,"$437,375"
Allan W Lockwood Special Care Hostel,6 SCHURMANN Street,,NATIMUK,VIC,3409,Grampians,Residential,11,,,,West Wimmera Health Service,State Government,Outer Regional Australia,"$676,052"
Allanvale Private Nursing Home,38-40 Ascot Street South,,ALTONA MEADOWS,VIC,3028,Western Metro,Residential,31,,,,Carewest Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,090,871"
Allawah Hostel And Community Aged Care Packages,60 Mirrool Street,,COOLAMON,NSW,2701,Riverina/Murray,Home Care Places,,9,,,Coolamon Shire Council,Local Government,Inner Regional Australia,"$47,412"
Allawah Lodge Aged Persons Hostel,60 Mirrool Street,,COOLAMON,NSW,2701,Riverina/Murray,Residential,33,,,,Coolamon Shire Council,Local Government,Inner Regional Australia,"$894,465"
Allawah Special Care Hostel,42 HUME Street,,YARRAWONGA,VIC,3730,Hume,Residential,30,,,,Yarrawonga Health,State Government,Inner Regional Australia,"$1,309,214"
Alloa Aged Care,34 Bayview Street,,ARNCLIFFE,NSW,2205,South East Sydney,Residential,42,,,,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,785,815"
Aloaka Lodge,52 Taylor Street,,KILCOY,QLD,4515,Cabool,Residential,40,,,,Sundale Ltd,Community Based,Inner Regional Australia,"$2,551,663"
