,Extra service,Maximum Room Occupancy,Number of Rooms of Type,Room Name,Room Size,exampleDAPDollar,exampleDAPPercentage,exampleRADDollar,exampleRADPercentage,extraServiceFeesAmount,home,iD,maximumDAP,maximumRAD,rADExceedsThresholdApproved,serviceID,serviceSubType,suburb
16,N,2,5,Shared Room,21m2,47.32,50.0,275000.0,50.0,,Abberfield Aged Care Facility,1-AU-88,94.63,550000.0,No,1-B5-147,Shared room + shared bathroom,SANDRINGHAM
17,N,1,40,general residential area,20,25.81,50.0,150000.0,50.0,,Abbeyfield House Hostel,1-E6-804,51.62,300000.0,,1-MAAJUC,Single room + ensuite,MORTLAKE
18,N,1,40,general residential area,20,25.81,50.0,150000.0,50.0,,Abbeyfield House Hostel,1-E6-804,51.62,300000.0,,1-MAAJUC,Single room + ensuite,MORTLAKE
19,N,1,40,general residential area,20,25.81,50.0,150000.0,50.0,,Abbeyfield House Hostel,1-E6-804,51.62,300000.0,,1-MAAJUC,Single room + ensuite,MORTLAKE
20,N,1,40,general residential area,20,25.81,50.0,150000.0,50.0,,Abbeyfield House Hostel,1-E6-804,51.62,300000.0,,1-MAAJUC,Single room + ensuite,MORTLAKE
21,N,1,40,general residential area,20,25.81,50.0,150000.0,50.0,,Abbeyfield House Hostel,1-E6-804,51.62,300000.0,,1-MAAJUC,Single room + ensuite,MORTLAKE
22,N,1,29,Hostel Care Unit,24,30.11,50.0,175000.0,50.0,,Abel Tasman Village,1-E6-263,60.22,350000.0,No,1-EP-2022,Single room + ensuite,CHESTER HILL
23,N,1,6,Large Hotel Care Unit,30,36.13,50.0,210000.0,50.0,,Abel Tasman Village,1-E6-263,72.26,420000.0,No,1-EP-2022,Single room + ensuite,CHESTER HILL
24,N,1,10,Dementia specific units,24,34.41,50.0,200000.0,50.0,,Abel Tasman Village,1-E6-263,68.82,400000.0,No,1-EP-2022,Single room + ensuite,CHESTER HILL
25,N,1,6,2 Bedroom Unit - Level 1 - Single Occ,58,38.71,50.0,225000.0,50.0,,Abel Tasman Village,1-E6-263,77.42,450000.0,No,1-EP-2022,Single room + ensuite,CHESTER HILL
26,N,2,6,2 Bedroom Unit - Level 1 - Couple Occ,58,43.02,50.0,250000.0,50.0,,Abel Tasman Village,1-E6-263,86.03,500000.0,No,1-EP-2022,Shared room + shared bathroom,CHESTER HILL
27,N,1,15,2 Bedroom Unit - Ground Floor - Single Occ.,55,38.71,50.0,225000.0,50.0,,Abel Tasman Village,1-E6-263,77.42,450000.0,No,1-EP-2022,Single room + ensuite,CHESTER HILL
28,N,2,15,2 Bedroom Unit - Ground Floor - Couple Occ.,55,51.62,50.0,300000.0,50.0,,Abel Tasman Village,1-E6-263,103.23,600000.0,No,1-EP-2022,Shared room + shared bathroom,CHESTER HILL
29,N,1,6,New Studio Unit,27.5,34.41,50.0,200000.0,50.0,,Abel Tasman Village,1-E6-263,68.82,400000.0,No,1-EP-2022,Single room + ensuite,CHESTER HILL
30,N,1,21,Single Rooms Private Ensuite,Ranging from 15.27m2 to 20.13m2,33.98,50.0,197500.0,50.0,0.0,Abernethy Nursing Home,1-E6-663,67.96,395000.0,No,1-EP-7305,Single room + ensuite,CESSNOCK
31,N,1,1,Single Room Private Ensuite,One single room 11.80m2,26.67,50.0,155000.0,50.0,0.0,Abernethy Nursing Home,1-E6-663,53.34,310000.0,No,1-EP-7305,Single room + ensuite,CESSNOCK
32,N,4,3,Shared Rooms,Ranging from 35.22m2 to 41.24m2,22.37,50.0,130000.0,50.0,0.0,Abernethy Nursing Home,1-E6-663,44.73,260000.0,No,1-EP-7305,Shared room + no bathroom or ensuite,CESSNOCK
33,N,2,9,Double Room Shared Ensuite,Ranging from  19.57m2 to 20.33m2,26.67,50.0,155000.0,50.0,0.0,Abernethy Nursing Home,1-E6-663,53.34,310000.0,No,1-EP-7305,Shared room + shared bathroom,CESSNOCK
34,N,1,1,Single room + shared bathroom,Approximately 16-17m2,37.85,50.0,220000.0,50.0,0.0,Abrina Nursing Home,1-E6-406,75.7,440000.0,No,1-EP-5353,Single room + no bathroom or ensuite,ASHFIELD
35,N,2,1,Double room + shared bathroom,Approximately 18-29m2,37.85,50.0,220000.0,50.0,0.0,Abrina Nursing Home,1-E6-406,75.7,440000.0,No,1-EP-5353,Shared room + no bathroom or ensuite,ASHFIELD
36,N,3,1,Shared room (3) + shared bath,Approximately 38-41m2,37.85,50.0,220000.0,50.0,0.0,Abrina Nursing Home,1-E6-406,75.7,440000.0,No,1-EP-5353,Shared room + no bathroom or ensuite,ASHFIELD
37,N,2,12,Shared Room,24.32m2,24.95,50.0,145000.0,50.0,0.0,Acacia House Residential Aged Care Service,1-E6-1094,49.9,290000.0,,1-17R42Q,Shared room + shared bathroom,SHEPPARTON
38,N,1,12,Single with ensuite,16.28,30.11,50.0,175000.0,50.0,0.0,Acacia House Residential Aged Care Service,1-E6-1094,60.22,350000.0,,1-17R42Q,Single room + ensuite,SHEPPARTON
39,N,1,,Single room & shared Bathroom,16.28m2,28.39,50.0,165000.0,50.0,0.0,Acacia House Residential Aged Care Service,1-E6-1094,56.78,330000.0,,1-17R42Q,Single room + shared bathroom,SHEPPARTON
40,N,1,,Single room & shared Bathroom,16.28m2,28.39,50.0,165000.0,50.0,0.0,ACDMA Aged Hostel,1-E6-271,56.78,330000.0,,1-EP-1233,Single room + shared bathroom,CANLEY VALE
41,N,1,,Single room & shared Bathroom,16.28m2,28.39,50.0,165000.0,50.0,0.0,Ada Cottage,1-E6-238,56.78,330000.0,,1-EP-104,Single room + shared bathroom,KANDOS
42,N,1,,Single room & shared Bathroom,16.28m2,28.39,50.0,165000.0,50.0,0.0,Adelene Court Hostel,1-E6-143,56.78,330000.0,,1-EP-4020,Single room + shared bathroom,WYOMING
43,N,2,0,Two Bed Shared Room,18 m2,23.66,50.0,137500.0,50.0,,Adelene Nursing Home,1-E6-586,47.32,275000.0,No,1-EP-3059,Shared room + shared bathroom,WYOMING
44,N,4,0,Four Bed Shared Room,31.3 m2,19.36,50.0,112500.0,50.0,,Adelene Nursing Home,1-E6-586,38.71,225000.0,No,1-EP-3059,Shared room + ensuite,WYOMING
45,N,1,0,Single Bed Rooms,14 m2,30.11,50.0,175000.0,50.0,,Adelene Nursing Home,1-E6-586,60.22,350000.0,No,1-EP-3059,Single room + shared bathroom,WYOMING
46,N,1,0,Single Bed Rooms,14 m2,30.11,50.0,175000.0,50.0,,Adria Village Ltd,1-E6-705,60.22,350000.0,No,1-EP-4077,Single room + shared bathroom,STIRLING
47,Y,1,2,Classic Shared Ensuite,18.5m2,33.12,50.0,192500.0,50.0,27.0,Advantaged Care at Barden Lodge,1-E6-2336,66.24,385000.0,No,1-EP-74,Single room + shared bathroom,BARDEN RIDGE
48,Y,1,6,Premium,18.5m2,47.32,50.0,275000.0,50.0,27.0,Advantaged Care at Barden Lodge,1-E6-2336,94.63,550000.0,No,1-EP-74,Single room + ensuite,BARDEN RIDGE
49,Y,1,24,Deluxe,18.5m2,55.92,50.0,325000.0,50.0,27.0,Advantaged Care at Barden Lodge,1-E6-2336,111.84,650000.0,Yes,1-EP-74,Single room + ensuite,BARDEN RIDGE
50,Y,1,24,Superior,18.5m2,66.67,50.0,387500.0,50.0,27.0,Advantaged Care at Barden Lodge,1-E6-2336,133.34,775000.0,Yes,1-EP-74,Single room + ensuite,BARDEN RIDGE
51,Y,1,6,Classic,18.5m2,43.45,50.0,252500.0,50.0,27.0,Advantaged Care at Barden Lodge,1-E6-2336,86.89,505000.0,No,1-EP-74,Single room + ensuite,BARDEN RIDGE
52,Y,1,35,Premium,18.5 m2,47.32,50.0,275000.0,50.0,26.0,Advantaged Care at Georges Manor,1-E6-2346,94.63,550000.0,No,1-EP-2137,Single room + ensuite,GEORGES HALL
53,Y,1,47,Deluxe,18.5 m2,47.32,50.0,275000.0,50.0,26.0,Advantaged Care at Georges Manor,1-E6-2346,94.63,550000.0,No,1-EP-2137,Single room + ensuite,GEORGES HALL
54,Y,1,39,Superior,18.5 m2,54.2,50.0,315000.0,50.0,26.0,Advantaged Care at Georges Manor,1-E6-2346,108.39,630000.0,Yes,1-EP-2137,Single room + ensuite,GEORGES HALL
55,Y,1,2,Classic Shared Ensuite,12m2,29.25,50.0,170000.0,50.0,26.0,Advantaged Care at Georges Manor,1-E6-2346,58.5,340000.0,No,1-EP-2137,Single room + shared bathroom,GEORGES HALL
56,Y,1,8,Classic,18.5 m2,36.99,50.0,215000.0,50.0,26.0,Advantaged Care at Georges Manor,1-E6-2346,73.98,430000.0,No,1-EP-2137,Single room + ensuite,GEORGES HALL
57,Y,1,12,Classic Plus,18.5 m2,41.3,50.0,240000.0,50.0,26.0,Advantaged Care at Georges Manor,1-E6-2346,82.59,480000.0,No,1-EP-2137,Single room + ensuite,GEORGES HALL
58,N,1,32,"Western Rooms  1-15, 17, 19-35",17.5,25.81,50.0,150000.0,50.0,,AdventCare Bendigo,1-E6-850,51.62,300000.0,No,1-EP-1172,Single room + ensuite,GOLDEN SQUARE
59,N,1,16,"Eastern Rooms 16,18 and 36-50",17.5 - 18,47.32,50.0,275000.0,50.0,,AdventCare Bendigo,1-E6-850,94.63,550000.0,No,1-EP-1172,Single room + ensuite,GOLDEN SQUARE
60,N,1,2,Auditorium Wing - Premium,22,60.22,50.0,350000.0,50.0,0.0,AdventCare Whitehorse (Hostel),1-E6-740,120.44,700000.0,Yes,1-EP-181,Single room + ensuite,NUNAWADING
61,N,1,26,Dorothy Wing Rooms,24 x 11m2 & 2 x 16.7m2,47.32,50.0,275000.0,50.0,,AdventCare Whitehorse (Hostel),1-E6-740,94.63,550000.0,No,1-EP-181,Single room + ensuite,NUNAWADING
62,N,1,60,Walter Fowler Building,58 x 14.9m2 & 2 x 16.3m2,47.32,50.0,275000.0,50.0,,AdventCare Whitehorse (Hostel),1-E6-740,94.63,550000.0,No,1-EP-181,Single room + ensuite,NUNAWADING
63,N,1,22,Auditorium Wing,16.8m2,55.92,50.0,325000.0,50.0,,AdventCare Whitehorse (Hostel),1-E6-740,111.84,650000.0,Yes,1-EP-181,Single room + ensuite,NUNAWADING
64,N,1,12,Dorothy West Wing,13m2,51.62,50.0,300000.0,50.0,,AdventCare Whitehorse (Hostel),1-E6-740,103.23,600000.0,Yes,1-EP-181,Single room + ensuite,NUNAWADING
65,N,1,12,Florence Wing Rooms,9 x 11m2 & 3 x 13.1m2,47.32,50.0,275000.0,50.0,0.0,AdventCare Whitehorse (Hostel),1-E6-740,94.63,550000.0,No,1-EP-181,Single room + ensuite,NUNAWADING
66,N,1,10,Yarra Ranges - Rooms 1-10,12.96,30.11,50.0,175000.0,50.0,,AdventCare Yarra Ranges,1-E6-741,60.22,350000.0,No,1-EP-1171,Single room + ensuite,WARBURTON
67,N,1,21,Yarra Ranges - Rooms 11-31,12.96,17.21,50.0,100000.0,50.0,,AdventCare Yarra Ranges,1-E6-741,34.41,200000.0,No,1-EP-1171,Single room + ensuite,WARBURTON
68,N,1,0,Single Room with Ensuite,13m2  to  20m2,33.98,50.0,197500.0,50.0,,Adventist Nursing Home,1-E6-543,67.96,395000.0,No,1-EP-5204,Single room + ensuite,KINGS LANGLEY
69,N,2,0,Companion Room with Ensuite,20m2,28.82,50.0,167500.0,50.0,,Adventist Nursing Home,1-E6-543,57.64,335000.0,No,1-EP-5204,Shared room + ensuite,KINGS LANGLEY
70,N,1,30,Sherwin Wing - Group 3,Size range from 11.4m2-16m2 in size,34.41,50.0,200000.0,50.0,0.0,Adventist Residential Care,1-E6-1888,68.82,400000.0,No,1-EP-2164,Single room + ensuite,ROSSMOYNE
71,N,1,10,Sherwin Wing - Group 4,Size range from 13.4m2-14.3m2 in size,36.56,50.0,212500.0,50.0,0.0,Adventist Residential Care,1-E6-1888,73.12,425000.0,No,1-EP-2164,Single room + ensuite,ROSSMOYNE
72,N,1,4,Sherwin Wing - Group 5,Size range from 13.9m2-16m2 in size,38.71,50.0,225000.0,50.0,0.0,Adventist Residential Care,1-E6-1888,77.42,450000.0,No,1-EP-2164,Single room + ensuite,ROSSMOYNE
73,N,2,0,Freeman Wing - Group 7,16,18.5,50.0,107500.0,50.0,,Adventist Residential Care,1-E6-1888,36.99,215000.0,No,1-EP-2164,Shared room + no bathroom or ensuite,ROSSMOYNE
74,N,2,0,Freeman Wing - Group 8,18,19.79,50.0,115000.0,50.0,,Adventist Residential Care,1-E6-1888,39.57,230000.0,No,1-EP-2164,Shared room + no bathroom or ensuite,ROSSMOYNE
75,N,1,0,Freeman Wing - Group 9,9.4,22.8,50.0,132500.0,50.0,,Adventist Residential Care,1-E6-1888,45.59,265000.0,No,1-EP-2164,Shared room + no bathroom or ensuite,ROSSMOYNE
76,N,1,7,Sherwin Wing - Group 1,10,30.11,50.0,175000.0,50.0,0.0,Adventist Residential Care,1-E6-1888,60.22,350000.0,No,1-EP-2164,Single room + shared bathroom,ROSSMOYNE
77,N,1,1,Sherwin Wing - Group 2,8.4,32.26,50.0,187500.0,50.0,0.0,Adventist Residential Care,1-E6-1888,64.52,375000.0,No,1-EP-2164,Single room + ensuite,ROSSMOYNE
78,Y,1,0,Bay Islands Executive,20,43.02,50.0,250000.0,50.0,30.0,Adventist Retirement Village - Victoria Pt,1-E6-2150,86.03,500000.0,Pending Approval,1-EP-6149,Single room + ensuite,VICTORIA POINT
79,N,1,0,Ormiston Executive Single,20,43.02,50.0,250000.0,50.0,,Adventist Retirement Village - Victoria Pt,1-E6-2150,86.03,500000.0,Pending Approval,1-EP-6149,Single room + ensuite,VICTORIA POINT
80,N,1,0,Victoria House Executive,20,43.02,50.0,250000.0,50.0,,Adventist Retirement Village - Victoria Pt,1-E6-2150,86.03,500000.0,Pending Approval,1-EP-6149,Single room + ensuite,VICTORIA POINT
81,N,1,0,Deluxe,20,38.71,50.0,225000.0,50.0,,Adventist Retirement Village - Victoria Pt,1-E6-2150,77.42,450000.0,Pending Approval,1-EP-6149,Single room + ensuite,VICTORIA POINT
82,N,2,0,Ormiston Deluxe Double,24,21.51,50.0,125000.0,50.0,,Adventist Retirement Village - Victoria Pt,1-E6-2150,43.01,250000.0,No,1-EP-6149,Shared room + shared bathroom,VICTORIA POINT
83,Y,1,0,Bay Islands Suite,24,47.32,50.0,275000.0,50.0,40.0,Adventist Retirement Village - Victoria Pt,1-E6-2150,94.63,550000.0,Pending Approval,1-EP-6149,Single room + ensuite,VICTORIA POINT
84,N,1,0,"Mosman - 8,17,18/ Freshwater - 4",14.1m2,34.41,50.0,200000.0,50.0,,Aegis Alfred Carson,1-E6-1863,68.82,400000.0,No,1-EP-1958,Single room + ensuite,CLAREMONT
85,N,1,0,"Freshwater - 13,22",21.2m2,46.89,50.0,272500.0,50.0,,Aegis Alfred Carson,1-E6-1863,93.77,545000.0,No,1-EP-1958,Single room + ensuite,CLAREMONT
86,Y,1,0,"Matilda - 1,30",14.1m2,34.41,50.0,200000.0,50.0,28.0,Aegis Alfred Carson,1-E6-1863,68.82,400000.0,No,1-EP-1958,Single room + ensuite,CLAREMONT
87,Y,1,0,"Matilda - 11,20,22,24,26,29,32,33",21.2m2,46.89,50.0,272500.0,50.0,28.0,Aegis Alfred Carson,1-E6-1863,93.77,545000.0,No,1-EP-1958,Single room + ensuite,CLAREMONT
88,Y,1,0,"Matilda - 2-10,12-19,21,23,25,27,28,31,34,35",14.1m2,43.02,50.0,250000.0,50.0,28.0,Aegis Alfred Carson,1-E6-1863,86.03,500000.0,No,1-EP-1958,Single room + ensuite,CLAREMONT
89,N,1,0,All other rooms,14.1m2,43.02,50.0,250000.0,50.0,,Aegis Alfred Carson,1-E6-1863,86.03,500000.0,No,1-EP-1958,Single room + ensuite,CLAREMONT
90,N,2,13,"G2,4,6,8,14,17,18,20C1,2,3,7,8",21.4m2,18.93,50.0,110000.0,50.0,0.0,Aegis Amberley,1-E6-2393,37.85,220000.0,No,1-EP-884,Shared room + ensuite,SPEARWOOD
91,N,1,2,"Carnac - 9,11",15.27m2,27.53,50.0,160000.0,50.0,0.0,Aegis Amberley,1-E6-2393,55.06,320000.0,No,1-EP-884,Single room + ensuite,SPEARWOOD
92,N,1,5,"Rottnest - 2,4,6,8,10",15.27m2,44.74,50.0,260000.0,50.0,0.0,Aegis Amberley,1-E6-2393,89.47,520000.0,No,1-EP-884,Single room + ensuite,SPEARWOOD
93,N,1,70,All other rooms,15.27m2,34.41,50.0,200000.0,50.0,0.0,Aegis Amberley,1-E6-2393,68.82,400000.0,No,1-EP-884,Single room + ensuite,SPEARWOOD
94,Y,1,0,"Penguin - 1,2,3,5,7",15.27m2,44.74,50.0,260000.0,50.0,20.0,Aegis Amberley,1-E6-2393,89.47,520000.0,No,1-EP-884,Single room + ensuite,SPEARWOOD
95,Y,1,6,"Penguin - 4,6,8-27",15.27m2,34.41,50.0,200000.0,50.0,20.0,Aegis Amberley,1-E6-2393,68.82,400000.0,No,1-EP-884,Single room + ensuite,SPEARWOOD
96,Y,1,1,Parmelia - 31,14.86m2,24.09,50.0,140000.0,50.0,20.0,Aegis Anchorage,1-E6-2219,48.18,280000.0,No,1-EP-1960,Single room + ensuite,MINDARIE
97,N,1,3,Batavia - 12/ Endeavour - 25,14.86m2,24.09,50.0,140000.0,50.0,0.0,Aegis Anchorage,1-E6-2219,48.18,280000.0,No,1-EP-1960,Single room + ensuite,MINDARIE
98,N,1,3,"Endeavour - 3,16",17m2,41.3,50.0,240000.0,50.0,0.0,Aegis Anchorage,1-E6-2219,82.59,480000.0,No,1-EP-1960,Single room + ensuite,MINDARIE
99,Y,1,20,Parmelia - All other rooms,15.88m2,34.41,50.0,200000.0,50.0,20.0,Aegis Anchorage,1-E6-2219,68.82,400000.0,No,1-EP-1960,Single room + ensuite,MINDARIE
100,Y,1,2,"Parmelia - 1,16",17m2,41.3,50.0,240000.0,50.0,20.0,Aegis Anchorage,1-E6-2219,82.59,480000.0,No,1-EP-1960,Single room + ensuite,MINDARIE
101,N,1,74,All other rooms,15.88m2,34.41,50.0,200000.0,50.0,0.0,Aegis Anchorage,1-E6-2219,68.82,400000.0,No,1-EP-1960,Single room + ensuite,MINDARIE
102,N,4,0,Ground & First Floor - 4-bed room,29.4m2,10.33,50.0,60000.0,50.0,,Aegis Balmoral,1-E6-1898,20.65,120000.0,No,1-EP-3781,Shared room + no bathroom or ensuite,COMO
103,N,2,0,Ground & First Floor - Double room,14.7m2,17.21,50.0,100000.0,50.0,,Aegis Balmoral,1-E6-1898,34.41,200000.0,No,1-EP-3781,Shared room + shared bathroom,COMO
104,N,1,0,Executive room,Average size 24m2,46.46,50.0,270000.0,50.0,,Aegis Balmoral,1-E6-1898,92.91,540000.0,No,1-EP-3781,Single room + ensuite,COMO
105,N,1,0,Superior Executive room,Average size 24m2,46.46,50.0,270000.0,50.0,,Aegis Balmoral,1-E6-1898,92.91,540000.0,No,1-EP-3781,Single room + ensuite,COMO
106,N,1,8,Group 1,Average 24m,34.41,50.0,200000.0,50.0,0.0,Aegis Balmoral,1-E6-1898,68.82,400000.0,,1-EP-3781,Single room + ensuite,COMO
107,N,1,41,Group 2,Average 24m,38.71,50.0,225000.0,50.0,0.0,Aegis Balmoral,1-E6-1898,77.42,450000.0,,1-EP-3781,Single room + ensuite,COMO
108,N,1,17,Group 3,Average 24m,47.32,50.0,275000.0,50.0,0.0,Aegis Balmoral,1-E6-1898,94.63,550000.0,,1-EP-3781,Single room + ensuite,COMO
109,N,1,5,Group 4,Average 24m,55.92,50.0,325000.0,50.0,0.0,Aegis Balmoral,1-E6-1898,111.84,650000.0,Pending Approval,1-EP-3781,Single room + ensuite,COMO
110,N,2,0,"Waratah - 7,8,14,16,19",21.8m2,12.91,50.0,75000.0,50.0,,Aegis Banksia Park,1-E6-1914,25.81,150000.0,No,1-EP-7227,Shared room + ensuite,CALISTA
111,N,1,0,Grevillea - 33-36,16.2m2,20.65,50.0,120000.0,50.0,,Aegis Banksia Park,1-E6-1914,41.29,240000.0,No,1-EP-7227,Single room + ensuite,CALISTA
112,N,1,0,"Banksia - 1,2,4,6-8,10,12",16.2m2,34.41,50.0,200000.0,50.0,,Aegis Banksia Park,1-E6-1914,68.82,400000.0,No,1-EP-7227,Single room + ensuite,CALISTA
113,N,1,0,All other rooms,16.2m2,27.53,50.0,160000.0,50.0,,Aegis Banksia Park,1-E6-1914,55.06,320000.0,No,1-EP-7227,Single room + ensuite,CALISTA
114,N,1,35,All other rooms,16.91m2,34.41,50.0,200000.0,50.0,0.0,Aegis Bassendean,1-E6-1894,68.82,400000.0,No,1-EP-5979,Single room + ensuite,BASSENDEAN
115,N,2,14,"Renoir3,4,5/Picasso22-25,30,31",24.64m2,17.21,50.0,100000.0,50.0,0.0,Aegis Bassendean,1-E6-1894,34.41,200000.0,No,1-EP-5979,Shared room + ensuite,BASSENDEAN
116,Y,2,5,"Monet - 11,12,14-16",24.64m2,17.21,50.0,100000.0,50.0,20.0,Aegis Bassendean,1-E6-1894,34.41,200000.0,No,1-EP-5979,Shared room + ensuite,BASSENDEAN
117,N,1,5,"Picasso - 21,26-29",16.91m2,29.25,50.0,170000.0,50.0,0.0,Aegis Bassendean,1-E6-1894,58.5,340000.0,No,1-EP-5979,Single room + ensuite,BASSENDEAN
118,N,1,0,"Lodge - 1-10/ Renoir - 1,2",16.91m2,41.3,50.0,240000.0,50.0,,Aegis Bassendean,1-E6-1894,82.59,480000.0,No,1-EP-5979,Single room + ensuite,BASSENDEAN
119,Y,1,0,Monet - All other rooms,16.91m2,32.69,50.0,190000.0,50.0,20.0,Aegis Bassendean,1-E6-1894,65.38,380000.0,No,1-EP-5979,Single room + ensuite,BASSENDEAN
120,Y,1,26,Haultain - All other rooms,18.76m2,29.25,50.0,170000.0,50.0,20.0,Aegis Carrington,1-E6-1900,58.5,340000.0,No,1-EP-1949,Single room + ensuite,HAMILTON HILL
121,Y,1,10,Healy - All single rooms,18m2,29.25,50.0,170000.0,50.0,20.0,Aegis Carrington,1-E6-1900,58.5,340000.0,No,1-EP-1949,Single room + ensuite,HAMILTON HILL
122,N,2,0,"Forest - 1,3,5",19.8m2,12.91,50.0,75000.0,50.0,,Aegis Carrington,1-E6-1900,25.81,150000.0,No,1-EP-1949,Shared room + no bathroom or ensuite,HAMILTON HILL
123,N,2,0,Forest - All other shared rooms,23.4m2,15.49,50.0,90000.0,50.0,,Aegis Carrington,1-E6-1900,30.97,180000.0,No,1-EP-1949,Shared room + ensuite,HAMILTON HILL
124,Y,1,4,"Haultain - 19,21,23,25",18.76m2,36.13,50.0,210000.0,50.0,20.0,Aegis Carrington,1-E6-1900,72.26,420000.0,No,1-EP-1949,Single room + ensuite,HAMILTON HILL
125,N,1,10,"Lodge - 1-3,5,7,9,11,13,15,17",18.76m2,36.13,50.0,210000.0,50.0,0.0,Aegis Carrington,1-E6-1900,72.26,420000.0,No,1-EP-1949,Single room + ensuite,HAMILTON HILL
126,N,1,20,All other rooms,18.76m2,29.25,50.0,170000.0,50.0,0.0,Aegis Carrington,1-E6-1900,58.5,340000.0,No,1-EP-1949,Single room + ensuite,HAMILTON HILL
127,Y,2,0,Healy - All shared rooms,23.4m2,15.49,50.0,90000.0,50.0,16.0,Aegis Carrington,1-E6-1900,30.97,180000.0,No,1-EP-1949,Shared room + ensuite,HAMILTON HILL
128,N,1,2,"Forest - 2,4",16.72m2,29.25,50.0,170000.0,50.0,0.0,Aegis Carrington,1-E6-1900,58.5,340000.0,No,1-EP-1949,Single room + shared bathroom,HAMILTON HILL
129,N,1,1,Forest - 16,16m2,29.25,50.0,170000.0,50.0,0.0,Aegis Carrington,1-E6-1900,58.5,340000.0,No,1-EP-1949,Single room + ensuite,HAMILTON HILL
130,N,2,2,"Francis - 5,6",21.4m2,18.93,50.0,110000.0,50.0,0.0,Aegis Ellenvale,1-E6-2361,37.85,220000.0,No,1-EP-883,Shared room + ensuite,BROADWATER
131,N,1,0,Charlotte - 9-30,14.6m2,34.41,50.0,200000.0,50.0,,Aegis Ellenvale,1-E6-2361,68.82,400000.0,No,1-EP-883,Single room + ensuite,BROADWATER
132,Y,1,0,"Edith - 8,11,13-21",14.6m2,34.41,50.0,200000.0,50.0,20.0,Aegis Ellenvale,1-E6-2361,68.82,400000.0,No,1-EP-883,Single room + ensuite,BROADWATER
